2021;01;16;01;01;-47
2021;01;16;01;03;-44
2021;01;16;01;04;-43
2021;01;16;01;05;-xx
2021;02;16;01;01;-25
2021;02;17;01;01;-30
2021; 1; 1; 0; 0; 1
2021; 1; 1; 0; 1; 1
2021; 1; 1; 0; 2; 1
2021; 1; 1; 0; 3; 1
2021; 1; 1; 0; 4; 1
2021; 1; 1; 0; 5; 1
2021; 1; 1; 0; 6; 1
2021; 1; 1; 0; 7; 1
2021; 1; 1; 0; 8; 1
2021; 1; 1; 0; 9; 1
2021; 1; 1; 0;10; 1
2021; 1; 1; 0;11; 1
2021; 1; 1; 0;12; 1
2021; 1; 1; 0;13; 1
2021; 1; 1; 0;14; 1
2021; 1; 1; 0;15; 1
2021; 1; 1; 0;16; 1
2021; 1; 1; 0;17; 1
2021; 1; 1; 0;18; 1
